Name,Калорий на 100гр,Белки на 100гр,Жиры на 100гр,Углеводы на 100гр
Швабра,,,,
Ремонт монитора,,,,
Топпинг,266,4.1,2,58
Мезотерапия,,,,
Strepsils,,,,
"Коктейль коктель молочный , сывороточный, мажитель",,,,
Фисташки,,,,
Яблоки,49,0.4,0.4,10
Вейкборд катание,,,,
Шпроты,446,13,44,0
Фрикадельки для супа,,,,
Рыба соленая,,,,
Нектарины,,,,
Вода,,,,
Кешью,580,21,48,15.7
Bluetooth наушники,,,,
Пересадка волос,,,,
Зубная щетка монопучковая,,,,
Парикмахерская,,,,
Пюре консервы,,,,
Корейская морковь,,,,
Чебуреки,,,,
Персик вяленый или сушеный,,,,
Персики,,,,
Зубная щетка обычная,,,,
Гуава вяленый или сушеный,,,,
Гуава сушеная,,,,
Сухой готовый завтрак,,,,
Шелковица Тутовник,,,,
Фейхуа,,,,
Ежевика,,,,
"Средство для чистки труб, удаления засоров",,,,
Помидоры томаты,18,0.9,0.2,3.9
Арахис,600,25,48,16
Корм для кота,,,,
Козинак,540,15,34,44
Роутер,,,,
Фундук,690,16,65,10
Кизил сушеный,,,,
Индикатор налета для зубов,,,,
Молоко обычное,64,3.3,3.2,4.7
Кукуруза консервы,80,3,1,13
Маракуйя вяленый или сушеный,,,,
Пусковое устройство для авто,,,,
Малина,50,0.8,0.5,10
"Десерт «Аппетиссимо» плодово-ягодный лесное ассорти, 500 г",,,,
"Мюсли, гранола",480,8.2,21.2,62
Палтус,,,,
Вареники,,,,
Батат,,,,
Дезодорант,,,,
Пастила,263,2.4,0,59
Хлеб,237,8.1,1.4,46.9
Сменные кассеты насадки лезвия для бритвы,,,,
Миндаль,,,,
Пленку на окна зеркальная тонировочная,,,,
Манго консервый,,,,
Морковь,41,0.9,0.2,10
Брелок домофона RFID,,,,
Сырок глазированный творожный палочки,256,10.9,7.7,35.9
Миноксидил,,,,
Клубника замороженная,,,,
Кондиционер для белья,,,,
Горбуша консервы,,,,
"Мясные снеки колбаски ",,,,
Плазмотерапия,,,,
Изюм,,,,
Сок нектар,,,,
Ерш для туалета,,,,
Витамин Цинк,,,,
Горох консервированный,35,3,0,6
Запеканка,204,11.6,7.3,23.5
Черника,,,,
Влагоптитывающие полотенца,,,,
Шлепки для бассейна,,,,
Хурма сушеная,,,,
Манго свежий,66.8,0.8,0.4,15
Кедровые орехи,,,,
Алыча вяленая,,,,
Хурма свежая,,,,
"Отбеливатель для белья ",,,,
Макадамия,,,,
Трубочки для молока АШАН Красная птица,,,,
Сыр твердый полутвердый нарезка,347,22.5,28.5,0
Бананы,96,1.5,0.5,21
Пельмени,,,,
Коврик в ванну,,,,
Салат айсберг,,,,
Черешня,,,,
Финики,250,2.5,0.5,58
Сметана,116,2.6,15,3.9
Гидромайка,,,,
Крем SPF cанскрин,,,,
VPS сервер хостинг,,,,
Шуманит гель 450мл,,,,
Пахлава,,,,
Овсянка геркулес,350,12,6,62
