Название,Белки на 100гр,Жиры на 100гр,Калории на 100гр,Углеводы на 100гр
Стейк топ блейд,,,,
Салат ранчо,,,,
Салат куриный барбекю,,,,
Салат куриный барбекю кейджин,,,,
Луковые кольца кейджин,,,,
Криспи чикен паста,,,,
Чесночный хлеб,,,,
Пеперкорн стейк,,,,
Ребрышки Fridays BBQ,,,,
Ребрышки Fridays BBQ Glazed Ribs,,,,
Ребрышки Fridays Теннесси,,,,
Ребрышки Fridays Теннесси Glazed Ribs,,,,
Куриная стружка теннесси,,,,
Куриные пальчики в панировке класические,,,,
Куриные пальчики в панировке кейджин,,,,
Крылышки теннесси,,,,
Крылышки баффало,,,,
Кесадилья с курицей и пармезаном,,,,
Салат прованс,,,,
Салат цезарь,,,,
Салат цезарь с курицей,,,,
Салат цезарь с креветками,,,,
Салат цезарь с красной рыбой,,,,
Картофель фри,,,,
Запеченные овощи с фреголой и соусом песто,,,,
Грудка цыпленка с овощами,,,,
Стейк из лосося с печеными овощами,,,,
Куриная печень,,,,
Буррата с карпаччо из томатов,,,,
Буррата аль форна,,,,
Спагети с грибами и ветчиной,,,,
Мясная лазанья,,,,
Спагети нери с дарами моря из печи,,,,
Паппарделле с говядиной из печи,,,,
Фритатта с пармезаном и томатами,,,,
Медальоны аль базилико,,,,
Кальмар в сливочно трюфельном соусе,,,,
Скалопини из курицы,,,,
Ризотто томатное  с морепродуктами,,,,
Cалат теплый с мраморной говядиной,,,,
Стейк из мраморной говядины с овощами гриль,,,,
Спагетти карбонара,,,,
Фетучини с цыпленком и песто,,,,
Пенне дель фатторе,,,,
Спагети болоньезе,,,,
"Пицца капрезс ",,,,
Пицца капричоза,,,,
Пицца с лососем и молекряной игрой,,,,
Пицца с мраморной говядиной,,,,
Пицца маргарита,,,,
Пицца пепперони,,,,
Пицца примавера,,,,
Пицца барбекю,,,,
Пицца дьявола,,,,
Пицца фретти ди маре,,,,
Пицца il Патио,,,,
Пицца Милано,,,,
Пицца Ветчина и грибы,,,,
Пицца Фрутти ди маре,,,,
Пицца аль сальмоне,,,,
Пицца кватро формаджи,,,,
Пицца мясная с луком бальзамик,,,,
Пицца асорти grande,,,,
Пицца с морепродуктами,,,,
Пицца барбекю и кола,,,,
Салат тосканский панцанелла,,,,
Салат греческий,,,,
Рукола с креветками,,,,
Салат с тунцом Ницца,,,,
Салат цезарь с куриной грудкой,,,,
Салат цезарь с куриной креветками,,,,
Салат с лососем и творожно трюфельным сыром,,,,
Салат с уткой виноградом и манговым соусом,,,,
Печеные перцы с брынзой и фисташками,,,,
Баклажаны пармиджано,,,,
Омлет il Патио,,,,
Бриошь с лососем и яйцом пашот,,,,
Шакшука в деревенском хлебе,,,,
Скрембл с креветками и тартаром из томатов,,,,
Брускетта с запеченным перцем,,,,
Брускетта с салями Милано,,,,
Брускетта с лососем,,,,
Брускетта с ростфифом,,,,
Ассорти антипасти,,,,
Панакота,,,,
Чизкейк,,,,
Яблочный пирог,,,,
Медовик,,,,
Гляссе,,,,
Овощи гриль,,,,
"Куриный бульон с равиоли и овощами ",,,,
Минестроне,,,,
Новый очаг,,,,
Чесночный хлеб,,,,
Итальянский хлеб,,,,
Сырный суп в хлебе,,,,
Спагетти с грибами и ветчиной,,,,
Спагетти с тунцом и вялеными томатами,,,,
Каннеллони с морепродуктами,,,,
Ризотто с кроликом и тыквой,,,,
Фрегола с моцареллой,,,,
Моцарелла аль форна,,,,
Мидии горонзола,,,,
Ассорти морепродуктов,,,,
Вителло тонато,,,,
Дорадо с лимоном и томатами,,,,
Тирамису по домашнему,,,,
"Тирамису апельсиновый ",,,,
Сырники с вишней,,,,
Паста пенне арабьята,,,,
"Спагетти Паста il Патио  ",,,,
Овощи гриль,,,,
Пюре с сыром,,,,
Паста кейджин с креветками и курицей,,,,
Фахита с куриным филе,,,,
Фахита с мраморной говядиной,,,,
Бефстроганов,,,,
Курица Fridays Теннесси,,,,
Лосось в глузури теннесси,,,,
Бифштекс,,,,
