Name,Итоговый вес,Белки на 100гр,Жиры на 100гр,Калории на 100гр,Углеводы на 100гр
Сникерс брауни из банана,438,363,141,584.3,75.5
Жаренный нут,,,,,
"Творожные сырки домашние ",340,44.8,44.9,810,64.7
Сникерс брауни из яблок,558,19,21,491.6,55.6
Конфеты фруктовые,258,9.2,6.9,425,82
Торт Наполеон из лаваша,397,26.4,35.2,819.4,102
"Чизкейк ягодный ",648,48.5,41.8,1003,107.7
Морковный кекс в микроволновке,294,21.4,10.2,300,32.1
Пирог из лаваша и творога,700,92.7,51.2,1169.8,75.8
Шоколадый мус пудинг торт,560,20.7,78,1247.2,110.8
Намазка для бутера с фасолью,469,43.4,57.6,834.7,45.9
Творог с рикотой,154,17,20,265,5
Пудинг из яиц и какао,,,,,
Тостовый хлеб в духовке,,,,,
Чипсы из лаваша,,,,,
Яйчница омлет с лавашом,174,16.3,23.2,413,35.4
Шакшука,213,32.8,20.3,330,3.3
Яйчница омлет с картошкой,213,32.8,20.3,330,3.3
Яйчница омлет с творогом и сыром,187,29.8,15.9,280,3.5
Сырники,,,,,
Оладьи,,,,,
Яйцо вареное + сосиски или колбаски вареные + кукуруза + салат,,,,,
Блины,,,,,
Рисовый мус,715,30.9,22.5,968,155.9
Кекс из овсянки с молоком,,,,,
Сухой завтрак,,,,,
Овсянка с топпингом,,,,,
Кукурузная каша с медом,,,,,
Кускус с овощами,,,,,
Жареные кабачки,,,,,
Пельмени со сметаной,,,,,
Вареники со сметаной,,,,,
Салат Фруктовый,,,,,
Вареное мясо,,,,,
Вафельные трубочки на сковороде,,,,,
Сырный хотдог hotdog,,,,,
Суп капустный с фрикадельками,,,,,
Суп овощной,,,,,
Борщ,,,,,
Суп крем картофельный,,,,,
Суп пюре тыквенный,727,11.3,40.6,627,60.2
Салат крабовыми палочками,,,,,
Салат свекла с грецкими орехами,,,,,
Салат редька зеленая,,,,,
Салат оливье,,,,,
Жаренная картошка,,,,,
Курица Кунг-Пао кармелизированное,,,,,
Рулетики из грудки с беконом,,,,,
Тефтели в сметанном соусе,,,,,
Реит из курицы или индейки,,,,,
Макароны с куриными бедрами,,,,,
Офощная запеканка,,,,,
Салянка,,,,,
Язык говяжий вареный,,,,,
Вареные куриные ноги,,,,,
Бульон куриный,,,,,
Котлеты нагетцы из курицы,615,82.6,30.9,731.2,30.4
Котлета из мяса мамина,100,14,17,225,10
Салат овощной,598,17.6,9.7,237,21.8
Пюре картофельное,,,,,
Кальмары с морковкой,,,,,
Рыба в духовке с сыром,,,,,
Морковь с сахаром,,,,,
Лаваш с краб палкам,347,25.2,30.8,640.2,65.5
Салат Мимоза,502,35,45,585,7.3
Омлет с вареной рыбой филе,653,29.3,30,432.4,10.2
Бутерброд,,,,,
Сухари,,,,,
Картофельные лепешки со сметаной,,,,,
Куриное месево  запеканка из гречки,985,115.8,37.3,1183.3,96.2
Салат из тунца или горбуши,,,,,
Чипсы в духовке,,,,,
Тыквенное пирожное,,,,,
Вафельный торт без сахара,,,,,
Намазка для бутера с ветчиной,,,,,
Намазка для бутера с тунцом,652,55.1,36.8,674,28.6
Взбитые белки в духовке,,,,,
Хачапури,323,53.2,19.8,650.5,61.9
Нутелла nutella,,,,,
Чебурек из Лаваша,344,39.7,38.8,630.8,28.1
Киндер пингви,,,,,
Чизкейк из творожного сыра Сан-Себастьян,,,,,
Пита из овсянки,,,,,
Пирог из банана и овсянки,560,38.2,14.6,603.6,79.8
Белковый коктель смузи,585,22.3,11.1,532.3,85
Печенье с орехами,565,64.4,98.6,2115,243.2
Пицца из курицы,902,154,55.2,1168.5,17.3
Пицца из капусты,,,,,
Пицца из творога,,,,,
Котлеты из крабовых палочек,344,40,34,579.3,29
Чебурек из рисовой бумаги,,,,,
Шаурма,,,,,
Рулеты из лаваша и фарша,,,,,
Пудинг из кукурузного крахмала,,,,,
Пышки я яйцом и сыром,,,,,
Овсянка с фруктами на ночь,,,,,
Белковая шоколадка,,,,,
Жаренный рис с овощами и креветками,745,83,14.6,1493,252.9
Смузи,,,,,
Бутерброд с горбушей сыром и салатом,73,4.7,3.6,100.9,11.7
Бутерброд с колбасой и сыром,18,2.6,4,62.2,4
